"pID","app_num","text","title","p1group","app_order","p2final","p1initial","p1_betweenness","p1final","p2initial","word_cnt","funct","pronoun","ppron","i","we","you","shehe","they","ipron","article","verb","auxverb","past","present","future","adverb","preps","conj","negate","quant","number","swear","social","family","friend","humans","affect","posemo","negemo","anx","anger","sad","cogmech","insight","cause","discrep","tentat","certain","inhib","incl","excl","percept","see","hear","feel","bio","body","health","sexual","ingest","relativ","motion","space","time","work","achieve","leisure","home","money","relig","death","assent","nonfl","filler","r_sent.neg","r_sent.pos","r_sent.neut","Gender","Age","Edu","School","Race","Ego","SPP"
"DP257",41,"Again, well this time I can say personally I am not a fan of physics at all, and squirrels really? I think ravens are probably the best, or birds in general, at physics. ","Nuts Physics",1,24,4,3,"high",2,4,33,66.67,12.12,9.09,9.09,0,0,0,0,3.03,6.06,12.12,9.09,0,12.12,0,12.12,12.12,6.06,3.03,6.06,0,0,3.03,0,0,0,6.06,6.06,0,0,0,0,24.24,3.03,0,0,6.06,3.03,0,3.03,9.09,3.03,0,3.03,0,0,0,0,0,0,15.15,0,9.09,6.06,0,3.03,0,0,0,0,0,0,3.03,0,0.362727979,0.637272021,0.133967326,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",15,"I thought this app about water was really cool since sewer or drain-off treatments are a hot topic in urban greening now. I think people should be more aware of how we use water in our daily lives. ","Pipe Fiction",3,16,4,5,"high",5,4,39,53.85,12.82,10.26,5.13,5.13,0,0,0,2.56,2.56,17.95,10.26,5.13,7.69,2.56,10.26,15.38,5.13,0,2.56,0,0,7.69,0,0,2.56,2.56,2.56,0,0,0,0,25.64,7.69,7.69,2.56,2.56,0,0,2.56,5.13,7.69,2.56,0,5.13,5.13,0,0,0,5.13,12.82,0,7.69,5.13,0,0,0,0,0,0,0,2.56,0,0,0.321726197,0.678273803,0.194989417,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",14,"This game was not appealing to me since I don't see the point in lining up crates, I guess I like my games to have more of a story rather than just following orders. ","Crate",0,10,4,3,"high",2,4,35,60,17.14,14.29,14.29,0,0,0,0,2.86,5.71,11.43,5.71,2.86,8.57,0,5.71,20,0,2.86,2.86,0,0,8.57,0,0,0,0,0,0,0,0,0,17.14,0,2.86,2.86,2.86,0,0,0,8.57,2.86,2.86,0,0,0,0,0,0,0,11.43,2.86,8.57,0,0,0,5.71,0,0,0,0,0,0,0,0.76059587,0.23940413,0.208379584,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",56,"I thought any game with birds would be interesting to me, but something about walking ducks, I mean ducks with pants was just not that appealing. ","Agent Duck",1,6,3,1,"high",1,3,26,61.54,19.23,11.54,11.54,0,0,0,0,7.69,0,19.23,11.54,7.69,3.85,3.85,7.69,15.38,3.85,3.85,3.85,0,0,3.85,0,0,0,3.85,3.85,0,0,0,0,38.46,7.69,0,3.85,7.69,0,0,7.69,15.38,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,3.85,0,0,0,0,0,0,0,0.758152222,0.241847778,0.159506218,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",51,"Another game that is similar to old ones but with different objects. Doesn't seem like it is that much fun and will probably delete it very soon.","Faaalling Balls",3,22,2,4,"low",4,3,28,60.71,14.29,0,0,0,0,0,0,14.29,0,14.29,10.71,0,10.71,3.57,10.71,7.14,7.14,0,10.71,0,0,3.57,0,0,0,3.57,3.57,0,0,0,0,17.86,3.57,0,0,7.14,0,0,7.14,3.57,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,3.57,0,0,0,0,0,0,0,0.374963785,0.625036215,0.238894741,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",36,"Idea isn't compelling and seems quite tedious. Would definitely get bored of this game after around ten minutes and delete this from my phone.","Drip",3,2,2,2,"low",2,3,25,48,12,4,4,0,0,0,0,8,0,12,4,0,8,4,8,16,8,0,0,4,0,8,0,0,0,8,4,4,0,0,0,36,8,4,4,8,4,0,12,0,0,0,0,0,0,0,0,0,0,12,0,4,8,0,0,4,0,0,0,0,0,0,0,0.716340795,0.283659205,0.166447574,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",3,"I liked this game a lot, but I am biased since I am a religious studies major and temples are interesting to me. I liked how the image is a mayan temple but the name of the app refers to castles. ","Castle Escape",3,16,2,3,"high",3,2,41,60.98,14.63,12.2,12.2,0,0,0,0,2.44,14.63,14.63,9.76,4.88,9.76,0,2.44,9.76,9.76,0,4.88,0,0,4.88,0,0,0,7.32,7.32,0,0,0,0,19.51,2.44,4.88,0,2.44,0,0,2.44,4.88,2.44,2.44,0,0,0,0,0,0,0,0,0,0,0,2.44,0,2.44,0,0,7.32,0,0,0,0,0.484726309,0.515273691,0.170254874,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",17,"Seems like a pointless app that doesn't have much fun in it. Let's be honest, why would anyone want to have a game that has the word atoms in it. It would only remind them of school.","Atom Crusher",1,9,3,1,"low",2,3,39,58.97,17.95,2.56,0,0,0,0,2.56,15.38,7.69,23.08,17.95,0,12.82,5.13,2.56,10.26,0,0,2.56,0,0,10.26,0,0,0,5.13,5.13,0,0,0,0,17.95,2.56,2.56,7.69,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,5.13,0,2.56,0,2.56,0,0,0,0,0,0,0,0.760407944,0.239592056,0.155725548,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",32,"Art is very cartoonish and doesn't seem that appealing. Doesn't seem like after the main storyline is over will there be anything else to do.","The Quest",3,13,2,2,"low",2,3,27,59.26,7.41,0,0,0,0,0,0,7.41,3.7,25.93,18.52,0,18.52,3.7,7.41,11.11,3.7,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,14.81,7.41,0,0,11.11,0,0,3.7,0,0,0,0,0,0,0,0,0,0,7.41,0,3.7,3.7,0,0,3.7,0,0,0,0,0,0,0,0.650533404,0.349466596,0.22153196,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",12,"Seems like a very interesting app and has potential. The art and the storyline of the app could ruin it though and will probably be played for 20+ minutes at a time.","Evil Key",0,14,4,4,"low",4,4,32,59.38,3.13,0,0,0,0,0,0,3.13,15.63,18.75,12.5,3.13,6.25,3.13,9.38,9.38,12.5,0,0,0,0,0,0,0,0,9.38,6.25,3.13,0,0,3.13,18.75,3.13,0,3.13,6.25,0,0,9.38,0,0,0,0,0,0,0,0,0,0,9.38,0,3.13,6.25,0,3.13,6.25,0,0,0,0,0,0,0,0.533012641,0.466987359,0.058790542,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",68,"Doesn't seem like a fun game and would probably be a huge waste of time. The app seems to be quite confusing as well and the art isn't good either.","Brainergy",2,13,3,2,"low",1,4,32,46.88,0,0,0,0,0,0,0,0,12.5,15.63,9.38,0,6.25,3.13,6.25,9.38,9.38,0,3.13,0,0,3.13,0,0,0,12.5,9.38,3.13,3.13,0,0,28.13,6.25,0,3.13,15.63,0,0,6.25,3.13,0,0,0,0,0,0,0,0,0,6.25,0,3.13,3.13,0,0,6.25,0,0,0,0,0,3.13,0,0.65120818,0.34879182,0.210156009,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",60,"I love the idea of stealing ice cream, and eating ice cream but somehow it sounds kind of stupid when you put theft and dessert together. I mean people feel guilty about it enough already.","Robber Rabbits",3,11,3,2,"high",1,3,35,42.86,14.29,8.57,5.71,0,2.86,0,0,5.71,2.86,8.57,0,0,8.57,0,8.57,8.57,11.43,0,2.86,0,0,8.57,0,0,2.86,11.43,2.86,8.57,2.86,2.86,0,20,8.57,0,0,2.86,0,0,5.71,2.86,11.43,5.71,2.86,2.86,8.57,0,0,2.86,5.71,11.43,2.86,2.86,5.71,0,0,0,0,0,0,0,0,0,0,0.664289347,0.335710653,0.073358256,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",65,"This app doesn't seem too interesting and is probably targeted at kids. Gameplay probably won't last too long and would be put down after an hour at most.","Armadillo",2,11,3,4,"low",4,4,30,53.33,3.33,0,0,0,0,0,0,3.33,3.33,16.67,10,3.33,6.67,3.33,13.33,13.33,6.67,0,3.33,0,0,6.67,0,0,3.33,6.67,6.67,0,0,0,0,23.33,3.33,0,3.33,13.33,0,0,6.67,0,0,0,0,0,0,0,0,0,0,26.67,3.33,10,13.33,0,3.33,3.33,0,0,0,0,0,0,0,0.728647031,0.271352969,0.230439425,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",19,"Art is quite cute and the game is probably a very casual one that one would play when they are bored from time to time. Idea isn't very original though.","Box Monsters",3,18,3,3,"low",3,3,31,58.06,6.45,3.23,0,0,0,0,3.23,3.23,6.45,12.9,12.9,0,9.68,3.23,16.13,6.45,9.68,0,0,6.45,0,6.45,0,0,0,16.13,12.9,3.23,0,0,0,16.13,3.23,0,3.23,6.45,0,0,3.23,0,0,0,0,0,0,0,0,0,0,9.68,0,0,9.68,0,0,12.9,0,0,0,0,0,0,0,0.571049737,0.428950263,0.29026622,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",21,"This game was probably the worst one I saw because of its app image which reminded me of microsoft. I know you are not supposed to judge a book by its cover but really, apps need to have some color.","Pathway Game",3,0,3,2,"high",2,5,40,65,20,10,7.5,0,2.5,0,0,10,5,17.5,7.5,7.5,10,0,5,12.5,5,2.5,5,2.5,0,5,0,0,0,2.5,0,2.5,0,0,0,22.5,2.5,2.5,2.5,7.5,0,0,0,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,5,0,0,0,0,0,0,0,0.849313556,0.150686444,0.066856139,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",62,"App isn't that appealing and probably not an app that someone would keep on their phone after downloading it and playing it for a few minutes.","Find Path",3,16,2,2,"low",2,3,27,62.96,22.22,3.7,0,0,0,0,3.7,18.52,7.41,7.41,3.7,0,3.7,3.7,3.7,11.11,7.41,3.7,3.7,0,0,11.11,0,0,0,3.7,3.7,0,0,0,0,25.93,0,0,3.7,7.41,0,3.7,7.41,3.7,0,0,0,0,0,0,0,0,0,11.11,0,3.7,7.41,0,0,3.7,0,0,0,0,0,0,0,0.540358378,0.459641622,0.31879161,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",71,"Feels like a rip off of any other robot fighting game, but with mediocre graphics. There are probably much better apps that are similar out there.","Rusty Robots",2,22,2,3,"low",2,3,26,57.69,7.69,0,0,0,0,0,0,7.69,3.85,11.54,7.69,0,11.54,0,11.54,15.38,3.85,0,7.69,0,0,7.69,0,0,0,7.69,3.85,3.85,0,3.85,0,23.08,3.85,0,0,7.69,0,0,7.69,3.85,3.85,0,0,3.85,0,0,0,0,0,7.69,0,7.69,0,0,7.69,3.85,0,0,0,0,0,0,0,0.617877237,0.382122763,0.15585615,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",69,"An unoriginal idea of another game with only changes to the design. While the game is fun, the original version is probably better than this game.","Expand It",0,18,2,3,"low",NA,2,26,57.69,3.85,0,0,0,0,0,0,3.85,15.38,7.69,7.69,0,7.69,0,7.69,15.38,3.85,0,7.69,0,0,11.54,0,0,0,11.54,11.54,0,0,0,0,15.38,3.85,3.85,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,7.69,3.85,0,3.85,0,3.85,11.54,0,0,0,0,0,0,0,0.503631955,0.496368045,0.161144908,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",33,"Seems like a very casual app that would be on my phone but definitely not a game that I would play for extended periods of time in a single sitting.","Moovin Up",3,23,3,3,"low",3,3,30,63.33,13.33,6.67,6.67,0,0,0,0,6.67,10,13.33,10,0,3.33,6.67,6.67,13.33,3.33,3.33,3.33,0,0,6.67,0,0,0,10,10,0,0,0,0,20,3.33,0,6.67,3.33,3.33,0,0,6.67,0,0,0,0,0,0,0,0,0,16.67,0,6.67,6.67,0,0,10,0,0,0,0,0,0,0,0.675885668,0.324114332,0.115990844,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",38,"Seems quite compelling at first, but the game probably gets old after a while. Also probably targeted at kids judging by the picture of the app.","Animal Eye",0,12,3,1,"low",1,3,26,57.69,0,0,0,0,0,0,0,0,15.38,7.69,0,0,7.69,0,11.54,19.23,11.54,0,0,3.85,0,7.69,0,0,3.85,0,0,0,0,0,0,23.08,3.85,3.85,0,15.38,0,0,0,3.85,3.85,3.85,0,0,0,0,0,0,0,23.08,0,7.69,15.38,0,3.85,3.85,0,0,0,0,0,0,0,0.351028195,0.648971805,0.261447387,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",2,"I thought moving logs is a pretty fun game, not that I enjoyed doing that when I played pokemon in the past to get to the gym leaders. There is something rewarding in being able to complete that type of puzzle.","Red Block Puzzle",2,12,5,4,"high",4,5,41,56.1,17.07,7.32,7.32,0,0,0,0,9.76,7.32,17.07,9.76,4.88,7.32,0,4.88,14.63,2.44,2.44,0,0,0,2.44,0,0,0,12.2,12.2,0,0,0,0,17.07,2.44,2.44,0,7.32,2.44,0,0,4.88,0,0,0,0,0,0,0,0,0,14.63,4.88,4.88,4.88,4.88,7.32,7.32,0,0,0,0,0,0,0,0.486338012,0.513661988,0.184735057,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",77,"The image of this app reminded me of pokemon but it seemed a lot less interesting after I read the description since it was essentially just flipping coins around. That did not sound like fun to me.","All Out",1,10,3,2,"high",2,3,37,62.16,18.92,8.11,8.11,0,0,0,0,10.81,8.11,8.11,5.41,8.11,0,0,5.41,16.22,2.7,2.7,5.41,0,0,0,0,0,0,5.41,5.41,0,0,0,0,18.92,2.7,2.7,0,5.41,0,0,2.7,8.11,5.41,2.7,2.7,0,0,0,0,0,0,5.41,0,2.7,2.7,2.7,0,2.7,0,2.7,0,0,0,0,0,0.536888517,0.463111483,0.236117337,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",1,"I appreciate how this game was trying to address the issue of waste, but I think that it requires a human component to the game as well. Waste is not a creature or something separate from human action. ","Waste",0,17,3,3,"high",3,3,38,57.89,15.79,5.26,5.26,0,0,0,0,10.53,10.53,7.89,5.26,2.63,5.26,0,5.26,13.16,10.53,2.63,0,0,0,10.53,0,0,5.26,5.26,5.26,0,0,0,0,23.68,5.26,2.63,0,5.26,0,2.63,0,10.53,0,0,0,0,0,0,0,0,0,5.26,2.63,2.63,0,2.63,5.26,5.26,2.63,0,0,0,0,2.63,0,0.515296315,0.484703685,0.290231463,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",70,"A pointless app where you have to break in to a vault. The game requires luck and after breaking in to the vault once I wouldn't ever do it again.","Crack That Vault",2,19,3,2,"low",1,4,31,64.52,9.68,6.45,3.23,0,3.23,0,0,3.23,12.9,6.45,6.45,0,6.45,0,9.68,19.35,3.23,0,0,3.23,0,6.45,0,0,0,3.23,3.23,0,0,0,0,12.9,0,0,0,3.23,3.23,3.23,3.23,0,0,0,0,0,0,0,0,0,0,25.81,0,9.68,12.9,3.23,3.23,3.23,0,0,0,0,0,0,0,0.78399737,0.21600263,0.779593139,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",20,"I like the idea of trampolines but I think it is too difficult for the user of the app to concentrate on both vertical and horizontal motion.","Trampoloons",2,17,3,2,"high",2,3,27,59.26,11.11,7.41,7.41,0,0,0,0,3.7,11.11,7.41,3.7,0,7.41,0,3.7,18.52,7.41,0,3.7,0,0,0,0,0,0,3.7,0,3.7,0,0,0,22.22,11.11,0,0,0,0,0,7.41,3.7,0,0,0,0,0,0,0,0,0,18.52,3.7,14.81,0,0,0,0,0,0,0,0,0,0,0,0.628250176,0.371749824,0.001375305,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",27,"Since I enjoy drawing or sketching in my free time, I thought this game was very unique. I had not come across a game like this before and I liked how there is a movement aspect to it. ","Deflection",2,1,4,3,"high",3,3,38,65.79,21.05,13.16,13.16,0,0,0,0,7.89,5.26,15.79,7.89,10.53,5.26,0,7.89,13.16,7.89,2.63,2.63,0,0,5.26,0,0,0,7.89,7.89,0,0,0,0,18.42,2.63,5.26,0,2.63,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,15.79,5.26,5.26,5.26,0,0,5.26,0,2.63,0,0,0,0,0,0.383505788,0.616494212,0.130458706,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",58,"The app seems interesting and gameplay also seems that way. After the stages are cleared there probably isn't much else to do in the game though.","Hank Hazard",3,26,3,4,"low",4,3,27,59.26,3.7,0,0,0,0,0,0,3.7,11.11,14.81,7.41,0,14.81,0,14.81,11.11,11.11,0,7.41,0,0,7.41,0,0,0,3.7,3.7,0,0,0,0,14.81,7.41,0,0,11.11,0,0,3.7,0,0,0,0,0,0,0,0,0,0,11.11,0,3.7,3.7,0,0,7.41,0,0,0,0,0,0,0,0.803836764,0.196163236,0.290489823,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",30,"I don't think oranges are the best type of fruit since everyone is trying to cut down sugary drinks and orange juice being one of them. I guess I don't like thinking about fruits being animated too. ","Gravity Orange",3,0,3,3,"high",3,3,39,51.28,12.82,10.26,7.69,0,0,0,2.56,2.56,2.56,15.38,10.26,0,10.26,0,5.13,15.38,2.56,0,2.56,2.56,0,5.13,0,0,0,5.13,2.56,2.56,0,2.56,0,12.82,5.13,2.56,0,2.56,0,0,2.56,0,12.82,5.13,0,0,10.26,0,0,0,10.26,2.56,0,2.56,0,2.56,5.13,2.56,0,0,0,0,0,0,0,0.767815782,0.232184218,0.235756317,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",39,"I really liked this app because it looked really creative. While I don't like imagining bugs have better forms of transportation, I think it is interesting to imagine how other beings would use technology. ","Jump Out",0,20,4,5,"high",5,4,35,48.57,20,8.57,8.57,0,0,0,0,11.43,0,20,8.57,5.71,11.43,2.86,8.57,5.71,8.57,0,0,0,0,0,0,0,0,11.43,11.43,0,0,0,0,28.57,8.57,11.43,2.86,0,0,0,0,5.71,2.86,2.86,0,0,0,0,0,0,0,5.71,2.86,0,2.86,0,5.71,0,0,0,0,0,0,0,0,0.417748282,0.582251718,0.108478783,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",44,"If you're into puzzles and challenging yourself, this seems like the app for you as it has a variety of puzzles and seems quite challenging. ","Enter The Grid",2,26,5,5,"low",5,5,26,53.85,15.38,7.69,0,0,7.69,0,0,7.69,7.69,11.54,3.85,0,11.54,0,0,15.38,15.38,0,0,0,0,7.69,0,0,0,7.69,7.69,0,0,0,0,34.62,7.69,0,3.85,23.08,0,0,11.54,3.85,0,0,0,0,0,0,0,0,0,3.85,0,3.85,0,7.69,7.69,0,0,0,0,0,0,0,0,0.143338952,0.856661048,0.001348918,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",57,"I don't think frogs are the best characters for games especially if they look too cartoon like, I guess that is the same for most characters, I think the cartoon look is not good.","Flexy Frogs",2,15,3,3,"high",2,3,35,57.14,14.29,11.43,8.57,0,0,0,2.86,2.86,8.57,22.86,8.57,0,22.86,0,5.71,5.71,2.86,2.86,8.57,0,0,5.71,0,0,0,5.71,5.71,0,0,0,0,20,5.71,0,2.86,8.57,0,0,0,5.71,5.71,5.71,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,0,0,0,0.683819841,0.316180159,0.165141906,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",29,"I thought this game was not that appealing just because I am not that into photography and the image of the app sort of reminded me of a camera or instagram.","Blink Blox",1,4,5,3,"high",3,5,31,67.74,19.35,9.68,9.68,0,0,0,0,9.68,9.68,9.68,6.45,6.45,3.23,0,3.23,12.9,9.68,6.45,0,0,0,3.23,0,0,0,0,0,0,0,0,0,29.03,3.23,3.23,0,6.45,0,0,6.45,12.9,3.23,3.23,0,0,0,0,0,0,0,3.23,0,3.23,0,0,0,3.23,0,0,0,0,0,0,0,0.350267009,0.649732991,0.184827479,2,23,5,"Rutgers",6,0.767896782,3.09
"DP257",76,"I don't want to see any more squirrels or games about squirrels, they are just small rats. Maybe it is just me personally but I don't like rats and they can be pests.","Stash Dash",3,20,2,3,"high",3,2,35,57.14,17.14,14.29,8.57,0,0,0,5.71,2.86,0,17.14,11.43,0,14.29,0,11.43,5.71,8.57,0,5.71,0,0,8.57,0,0,0,0,0,0,0,0,0,22.86,0,0,2.86,8.57,0,0,2.86,11.43,2.86,2.86,0,0,0,0,0,0,0,2.86,0,2.86,0,0,0,2.86,0,0,0,0,0,0,0,0.652053366,0.347946634,0.183593835,2,23,5,"Rutgers",6,0.767896782,3.09
